date,open,high,close,low,volume,p_change
2020-01-14,4215.16,4223.51,4189.89,4188.08,129320784.0,-0.34
2020-01-15,4186.88,4193.87,4166.73,4150.88,104633136.0,-0.55
2020-01-16,4174.82,4175.29,4149.04,4142.18,100267640.0,-0.42
2020-01-17,4162.19,4177.03,4154.85,4141.64,98725680.0,0.14
2020-01-20,4170.74,4185.96,4185.83,4149.49,122409144.0,0.75
2020-01-21,4165.02,4165.02,4114.31,4113.33,130527512.0,-1.71
2020-01-22,4093.8,4141.18,4131.93,4046.49,126758760.0,0.43
2020-01-23,4093.32,4103.52,4003.9,3972.39,160357600.0,-3.1
2020-02-03,3639.91,3732.16,3688.36,3639.91,157559648.0,-7.88
2020-02-04,3652.0,3786.86,3785.64,3652.0,213933328.0,2.64
2020-02-05,3801.1,3866.01,3828.53,3781.61,174925520.0,1.13
2020-02-06,3841.75,3914.91,3899.78,3806.96,176462240.0,1.86
2020-02-07,3879.55,3899.88,3899.87,3849.71,151731760.0,0.0
2020-02-10,3872.37,3920.17,3916.01,3861.01,148406976.0,0.41
2020-02-11,3926.42,3970.52,3952.46,3915.71,143441680.0,0.93
2020-02-12,3945.67,3984.43,3984.43,3940.67,126710320.0,0.81
2020-02-13,3985.88,3999.55,3959.92,3950.14,145001840.0,-0.61
2020-02-14,3954.23,4001.56,3987.73,3954.02,143239808.0,0.7
2020-02-17,3999.65,4077.45,4077.42,3999.65,182778960.0,2.25
2020-02-18,4069.83,4076.39,4057.51,4027.79,163236224.0,-0.49
2020-02-19,4049.59,4085.17,4051.31,4042.85,169046448.0,-0.15
2020-02-20,4062.9,4148.53,4144.66,4055.81,212232624.0,2.3
2020-02-21,4134.87,4184.44,4149.49,4130.17,217213600.0,0.12
2020-02-24,4131.84,4149.01,4132.84,4097.18,212869312.0,-0.4
2020-02-25,4066.3,4126.71,4123.85,4020.91,244167824.0,-0.22
2020-02-26,4070.1,4132.78,4073.02,4061.12,261094048.0,-1.23
2020-02-27,4084.08,4110.53,4084.88,4067.44,181290992.0,0.29
2020-02-28,3988.73,4031.15,3940.05,3928.07,230275088.0,-3.55
2020-03-02,3968.84,4092.54,4069.67,3968.84,219313568.0,3.29
2020-03-03,4125.14,4147.65,4091.36,4067.91,219369776.0,0.53
2020-03-04,4078.5,4115.26,4115.05,4060.73,182424736.0,0.58
2020-03-05,4150.21,4215.85,4206.73,4127.04,231823120.0,2.23
2020-03-06,4158.2,4181.31,4138.51,4135.39,172475712.0,-1.62
2020-03-09,4063.08,4063.08,3997.13,3995.13,208102032.0,-3.42
2020-03-10,3975.23,4093.0,4082.73,3954.75,197416400.0,2.14
2020-03-11,4090.93,4091.27,4028.43,4028.4,161656112.0,-1.33
2020-03-12,3976.11,3987.43,3950.91,3926.27,157060448.0,-1.92
2020-03-13,3771.01,3937.18,3895.31,3765.15,188296720.0,-1.41
2020-03-16,3899.86,3899.86,3727.84,3720.51,185968256.0,-4.3
2020-03-17,3739.78,3786.89,3709.68,3618.31,166246128.0,-0.49
2020-03-18,3729.69,3775.85,3636.26,3636.26,155037536.0,-1.98
2020-03-19,3623.79,3647.99,3589.09,3503.19,180807408.0,-1.3
2020-03-20,3629.51,3663.95,3653.22,3588.78,139602992.0,1.79
